ID,date,campaign_type,region,customer_age_range,gender,sales,units_sold,clients_engaged,click_rate,conversion_rate,satisfaction_client (%)
Yj9041,5/9/2019,Social Networks,West,26-35,Female,146881.92,95,2211,1.18,0.16,48.0
Rr7267,11/7/2019,TV,NA,NA,Female,38204.34,94,1851,0.44,0.24,34.4
Sg3507,4/8/2022,TV,NA,18-25,Female,145490.2,1,857,0.99,0.2,93.4
Ij5907,3/26/2019,Social Networks,South,46-55,Others,727.67,60,1438,0.35,0.01,92.4
Xr4426,12/31/2019,TV,NA,NA,Female,59974.09,69,1418,0.11,0.18,51.2
Nx1954,2/4/2021,Online Advertising,South,18-25,Others,51557.2,75,2196,1.3,0.2,74.6
Bm6478,7/15/2021,Online Advertising,South,46-55,Male,77368.23,55,2082,1.25,0.19,41.4
Ol5472,3/11/2018,NA,East,18-25,Others,83640.22,89,2390,0.29,0.29,35.8
Hg7089,5/1/2021,TV,West,18-25,Others,6879.17,60,1655,0.47,0.01,95.6
Fj1210,2/17/2022,Online Advertising,West,18-25,Others,104357.95,13,2527,1.22,0.07,87.0
Ay9165,7/13/2020,Direct Advertising,East,36-45,Male,83311.22,47,962,0.81,0.16,34.2
Te5521,8/26/2018,TV,NA,18-25,NA,73867.79,48,485,1.12,0.11,40.8
Hy2487,11/29/2020,Social Networks,NA,56+,Male,35015.93,63,865,0.07,0.25,85.0
Tf9644,11/30/2021,Online Advertising,NA,56+,Female,5665.96,87,1006,0.28,0.09,25.4
Ik2686,8/29/2018,TV,East,NA,Male,20746.5,52,2485,0.07,0.23,27.6
Tb2607,9/9/2022,NA,NA,NA,Female,4734.42,68,1452,1.3,0.27,57.0
Bc9083,4/11/2018,TV,NA,36-45,Female,126957.58,21,2155,0.23,0.14,62.8
Dn9977,8/27/2022,NA,South,36-45,Others,62140.39,63,2021,0.41,0.01,79.0
Pi8171,9/26/2020,Online Advertising,North,36-45,Male,135753.54,73,2227,1.48,0.14,60.2
Kf9653,10/17/2019,Direct Advertising,East,NA,Male,21752.78,54,1803,1.07,0.07,93.4
Li2710,2/25/2019,Online Advertising,NA,26-35,Others,137717.83,76,2004,0.66,0.03,68.0
Gt7684,1/17/2019,NA,West,56+,Others,2481.6,65,2676,0.35,0.17,46.6
Uq4479,8/27/2022,TV,East,NA,NA,56532.07,51,548,0.42,0.28,80.8
Dv9782,2/7/2019,Direct Advertising,North,46-55,Male,43120.59,48,725,1.17,0.01,41.6
Pg6529,2/26/2022,Email,West,26-35,Male,7922.54,91,2501,0.32,0.28,65.6
Bb8641,6/15/2020,Direct Advertising,West,46-55,Others,87662.56,89,1029,1.38,0.18,68.2
Ph8569,11/22/2019,NA,East,NA,Female,98732.58,19,2086,0.67,0.14,73.6
Au7609,12/22/2022,NA,NA,26-35,NA,53978.55,4,771,0.09,0.07,24.2
Re9457,3/15/2019,NA,South,36-45,Male,11101.77,69,91,1.48,0.23,88.8
We2388,12/9/2020,NA,North,26-35,Others,132887.1,93,661,1.15,0.28,70.0
An5797,10/29/2021,Online Advertising,West,26-35,Female,137847.58,77,1895,1.08,0.07,66.4
Dd1959,1/27/2022,Social Networks,NA,26-35,Male,42124.78,14,1228,0.72,0.15,46.2
Gt1310,12/28/2021,TV,West,46-55,Female,26852.64,62,1003,0.39,0.06,93.6
Ac6627,4/15/2018,Online Advertising,North,36-45,NA,95191.89,91,330,0.13,0.19,43.2
Iq5995,10/4/2021,Email,North,46-55,NA,116917.83,54,1806,0.26,0.11,98.2
Su1573,3/20/2018,NA,NA,18-25,Others,97148.57,54,1467,1.48,0.29,92.4
Xz9225,3/5/2020,NA,West,36-45,Others,73412.77,58,892,0.4,0.26,22.4
Ab4804,8/2/2022,NA,NA,18-25,NA,49908.22,63,1813,0.09,0.09,35.8
Jf8376,10/25/2019,Email,South,26-35,Others,129889.22,31,91,0.94,0.09,85.6
Ob4496,4/23/2021,Social Networks,East,NA,Others,58113.81,64,1342,0.55,0.22,66.8
Sg5494,11/5/2021,Social Networks,North,26-35,Others,80528.1,3,963,1.18,0.15,61.0
Py3071,4/9/2020,NA,NA,36-45,NA,104514.8,93,2128,0.39,0.26,95.0
Gd9556,12/2/2018,TV,North,36-45,NA,38108.49,43,32,1.17,0.06,74.0
Zq2844,2/24/2018,NA,West,36-45,Female,39561.48,77,21,0.6,0.29,31.2
Wd6476,8/26/2021,Social Networks,South,56+,Male,9648.37,74,1881,0.82,0.22,53.4
Tr5938,12/16/2019,Direct Advertising,West,36-45,Others,109979.05,16,984,0.53,0.19,85.0
Xt2531,6/9/2019,TV,South,NA,Female,82916.46,14,1216,0.54,0.2,36.2
Qx3309,1/20/2018,TV,South,26-35,Male,146200.64,7,885,0.92,0.15,28.2
Tr1495,10/21/2019,Online Advertising,East,NA,Male,61756.03,47,247,0.32,0.15,80.8
Ol7058,7/11/2020,Online Advertising,NA,26-35,Male,74339.69,75,2468,0.26,0.05,83.2
By9920,5/24/2021,Email,North,56+,Female,127932.23,55,879,0.21,0.18,81.4
Wm3638,6/28/2022,TV,South,NA,NA,75820.58,13,2182,0.75,0.15,95.0
Wf5424,9/10/2018,Online Advertising,West,NA,NA,146441.5,30,2871,1.26,0.24,74.4
Of1559,6/28/2020,TV,South,26-35,Male,94718.55,37,2303,0.86,0.17,94.6
Mc2214,8/5/2021,Social Networks,North,46-55,Others,109874.14,6,2110,1.29,0.28,97.0
Vt7379,12/19/2018,Online Advertising,NA,26-35,Male,67779.43,61,925,0.65,0.01,92.4
Oc5956,11/23/2022,Social Networks,NA,56+,NA,111341.28,87,2297,0.13,0.08,38.0
Fy1933,9/1/2022,TV,North,36-45,NA,84135.55,33,2532,0.71,0.11,99.6
Nb4550,7/20/2021,Online Advertising,South,36-45,Others,38796.95,92,2617,0.79,0.04,91.2
Rc9061,8/14/2020,TV,North,26-35,Female,94303.17,32,1866,0.82,0.05,69.2
Lt2194,8/1/2022,Email,South,36-45,Others,38108.71,4,1385,0.78,0.08,87.2
Dp8845,3/29/2018,NA,South,26-35,Others,37361.34,18,86,0.5,0.19,96.4
Df1986,11/9/2019,Social Networks,NA,56+,Others,142197.83,21,2334,0.18,0.05,84.2
Tl8774,9/6/2022,NA,West,36-45,NA,95977.7,56,1955,0.92,0.29,73.4
Tt1299,12/3/2021,NA,South,26-35,Female,81276.77,16,910,1.05,0.19,38.8
Rr9012,5/10/2022,Online Advertising,North,46-55,Others,31134.76,40,2526,0.15,0.01,26.0
Fw5139,5/4/2018,NA,NA,NA,NA,26086.4,88,575,1.46,0.14,85.0
Ta9861,8/28/2020,TV,South,46-55,NA,34596.73,93,1000,0.27,0.14,55.0
Qx4953,11/11/2019,TV,North,NA,Others,45822.32,10,330,1.2,0.26,87.6
Gt2780,8/9/2022,NA,North,18-25,Female,9120.41,5,2267,0.61,0.27,39.4
Td1771,12/2/2018,Email,West,36-45,Female,91050.57,58,2429,1.29,0.12,62.2
Ep8500,8/11/2018,Direct Advertising,East,18-25,Male,128489.73,20,2887,1.46,0.21,68.2
Gh4591,7/31/2022,Online Advertising,NA,26-35,NA,31386.11,82,439,1,0.14,77.8
Hr3412,5/14/2018,Online Advertising,North,NA,Others,23875.26,55,345,1.32,0.23,76.4
Gq8570,8/15/2019,TV,West,36-45,NA,89661.53,41,2697,0.49,0.03,52.4
Es8882,5/19/2019,Direct Advertising,West,NA,Others,147862.59,45,1523,0.33,0.21,70.8
Lb5782,4/29/2018,Social Networks,West,18-25,Male,93175.34,25,1937,0.55,0.22,35.2
Wt9151,8/13/2021,Social Networks,South,NA,Female,94106.3,34,1810,0.58,0.19,73.4
In6431,7/22/2019,Email,West,46-55,Others,134292.31,22,1137,0.69,0.09,82.2
Ke7336,6/21/2018,TV,East,26-35,NA,1345.2,81,2167,0.22,0.21,87.0
Bu2501,3/8/2021,Direct Advertising,North,26-35,Others,103612.86,75,2303,0.85,0.08,78.0
Oz7602,1/2/2018,Online Advertising,South,26-35,Others,147799.71,98,656,0.08,0.26,69.2
Hy2106,6/10/2020,Direct Advertising,East,18-25,Male,17661.75,31,369,0.24,0.24,96.6
Ur9462,11/8/2019,Online Advertising,East,36-45,NA,92990.6,34,852,0.32,0.2,78.8
Wv2751,3/7/2020,TV,South,18-25,NA,149427.08,83,1770,1.41,0.16,84.4
Iw5705,6/5/2018,NA,North,36-45,Others,62239.55,15,500,0.51,0.01,63.2
Zt9884,9/22/2018,Online Advertising,North,46-55,Female,101903.45,13,2549,0.13,0.1,32.8
La1330,5/7/2021,Social Networks,West,NA,Male,141829.63,79,905,0.36,0.05,65.8
Rg6323,2/16/2019,Online Advertising,East,18-25,Male,66470.95,17,2968,0.22,0.26,23.4
Bb4316,2/19/2018,Social Networks,South,18-25,Male,12227.07,81,1702,0.82,0.09,38.0
Ek4313,10/3/2022,Email,East,36-45,Male,133372.41,57,361,1.06,0.1,80.4
Wf3588,11/2/2020,Social Networks,NA,56+,Female,3240.13,67,1185,0.65,0.17,26.0
Lk4533,9/6/2021,Social Networks,South,46-55,Female,71406.36,30,516,0.33,0.25,29.0
Gx7562,12/31/2022,Email,South,26-35,NA,136898.54,69,409,0.89,0.27,68.8
Iq7140,7/17/2019,Direct Advertising,South,18-25,NA,12784.04,58,329,1.42,0.07,91.6
Hz5683,12/17/2020,Social Networks,NA,36-45,Others,118871.64,9,2707,0.36,0.13,28.0
Ii8969,2/7/2020,Email,West,56+,Female,25640.36,22,1264,1.44,0.06,34.6
Ad1551,1/26/2019,TV,East,46-55,Others,70627.55,49,371,1.05,0.11,94.4
Tx3323,9/30/2019,NA,East,NA,NA,129725.17,38,697,1.08,0.22,22.0
Yg6078,2/22/2021,Direct Advertising,East,56+,NA,128317.62,91,1224,1.01,0.2,70.0
Gl6713,11/13/2022,Email,West,56+,Female,149232.81,6,492,0.31,0.29,45.4
Ps8186,1/15/2022,Direct Advertising,NA,56+,NA,9194.67,24,872,0.88,0.18,48.8
El6276,8/27/2020,Email,East,36-45,NA,15808.93,89,272,0.79,0.06,60.6
Un4523,3/19/2020,Direct Advertising,North,NA,Male,34253.83,26,324,1.08,0.17,42.4
Pp4940,1/14/2022,Online Advertising,NA,18-25,Male,80219.28,23,2139,0.32,0.22,32.2
Wp7079,7/22/2019,Email,South,NA,NA,83192.75,48,747,0.83,0.28,39.2
Fs2750,5/20/2020,NA,North,NA,Others,113213.46,44,2513,1.39,0.09,74.2
Ld5133,6/21/2019,Social Networks,North,26-35,Male,147333.81,36,2138,0.46,0.07,63.4
Xn7260,1/1/2022,NA,East,18-25,Male,4547.06,24,1761,1.18,0.08,71.4
Ig2979,1/18/2018,NA,North,18-25,Male,82978.46,53,623,0.51,0.26,26.8
Pq8356,5/30/2021,Online Advertising,North,NA,Male,80396.94,68,1011,0.68,0.14,72.8
Ii7039,6/3/2019,Direct Advertising,South,56+,Others,112010.77,10,1873,0.14,0.27,77.6
Ns8265,11/17/2019,Email,North,18-25,Male,25313.51,83,1575,0.48,0.15,21.0
Jk2416,1/17/2022,Email,NA,56+,Others,18864.42,71,1874,0.07,0.27,99.0
Ie3717,5/6/2022,Online Advertising,South,46-55,Others,92332.5,15,1746,0.88,0.22,95.4
Ro5727,9/6/2022,Online Advertising,South,46-55,Others,23022.71,77,1599,0.53,0.15,53.8
Ts3781,7/19/2021,Online Advertising,NA,NA,Female,20868.07,41,1157,1.04,0.23,34.4
Sc5123,1/2/2018,Online Advertising,East,46-55,Male,125569.86,10,2054,1.35,0.29,23.6
Rz7322,11/25/2019,Email,NA,46-55,NA,10002.91,74,1069,1.06,0.27,30.0
Ml4070,3/15/2022,Email,South,56+,Others,65124.36,90,2907,1.32,0.11,24.6
Ku8213,12/22/2021,NA,East,36-45,Female,12550.24,7,92,0.68,0.27,34.2
Ps1468,11/20/2019,Online Advertising,North,36-45,Female,95204.97,51,2797,0.85,0.12,99.2
Md2534,10/28/2018,NA,South,46-55,Male,21513.3,2,896,1.45,0.28,83.2
Jv5275,11/23/2018,Direct Advertising,West,56+,Others,94891.55,33,2877,1.25,0.21,99.0
Hs2142,6/15/2022,TV,East,46-55,Others,16347.48,75,87,1.3,0.12,54.6
Xr7960,7/14/2019,NA,West,NA,Female,69091.78,48,2611,0.42,0.25,32.6
Hy6779,12/25/2019,Online Advertising,NA,26-35,Male,83189.5,13,2765,0.83,0.17,88.0
Wv8682,2/11/2018,Email,North,56+,Female,147663.29,94,647,0.19,0.13,88.6
Ws1948,3/19/2018,TV,North,NA,NA,34985.23,9,915,0.27,0.15,35.4
Xs9494,7/4/2021,Online Advertising,East,NA,Female,143152.83,5,1733,1,0.25,39.4
Sr8579,5/27/2022,Social Networks,South,46-55,NA,142449.48,43,1772,0.73,0.06,21.2
Ej4863,2/2/2021,Direct Advertising,South,18-25,Others,104299.57,89,38,0.72,0.03,79.4
Yf2596,7/12/2018,TV,NA,46-55,Male,62223.19,60,878,0.09,0.12,82.2
Gy7625,1/8/2018,Social Networks,East,18-25,Male,41891.5,84,1762,0.91,0.1,65.2
Mi7148,7/30/2019,Direct Advertising,West,56+,NA,135811.28,74,1089,1.38,0.23,69.4
Dt4758,3/24/2018,TV,NA,56+,NA,79143.98,55,2954,0.65,0.2,40.0
Lj6473,1/1/2019,Online Advertising,West,46-55,Others,81471.18,34,2996,0.13,0.21,95.8
Df9546,12/28/2018,TV,NA,36-45,NA,93447.68,68,1173,0.61,0.06,94.8
Yh7942,1/4/2021,NA,West,18-25,NA,72456.16,76,1570,0.71,0.26,45.8
Rp8026,7/3/2019,NA,South,26-35,Female,35641.15,25,1616,0.84,0.28,47.0
My9317,10/4/2022,NA,West,18-25,NA,33711.08,83,1355,0.41,0.02,86.6
Tn7943,8/5/2022,NA,NA,26-35,Others,61294.96,40,776,0.71,0.01,72.2
Vd6818,8/12/2018,Social Networks,NA,46-55,Male,140488.3,20,897,1.11,0.11,42.4
Jf9962,11/20/2019,TV,NA,36-45,Male,41416.61,23,861,0.75,0.05,87.8
Vb1821,3/10/2020,Online Advertising,West,NA,Female,122417.16,72,171,1.12,0.24,53.6
Ae7901,4/11/2018,Online Advertising,NA,18-25,Male,60771.59,37,762,0.55,0.17,23.2
Uk7821,10/4/2022,Social Networks,North,NA,NA,76467.01,6,1987,0.72,0.21,73.6
Wq4628,5/23/2020,TV,West,56+,NA,127214.08,70,894,0.51,0.16,53.0
Sn1142,8/27/2021,Direct Advertising,West,18-25,Others,3492.56,66,2744,0.13,0.23,84.0
Qz2064,5/9/2021,Social Networks,NA,36-45,NA,14990.47,74,173,1.24,0.09,60.0
Nb5579,6/2/2020,Email,West,NA,NA,83880.67,89,1475,0.8,0.28,46.2
Dc5640,3/21/2020,TV,East,26-35,Female,33688.67,52,1012,1.29,0.23,87.6
Jp9053,6/26/2019,NA,North,26-35,Others,5165.65,18,1679,1.09,0.29,63.6
Uh3973,5/2/2022,Email,South,18-25,Female,69599.82,36,722,1,0.03,65.6
Fm9007,10/13/2022,Email,South,NA,Male,117366.04,53,61,0.3,0.17,100.0
Kh5003,2/5/2018,TV,NA,NA,NA,123795,17,2695,1.26,0.12,40.0
Rp1131,10/7/2021,NA,South,26-35,NA,95605.82,8,1013,1.43,0.15,24.6
Cp6034,11/1/2018,Online Advertising,South,36-45,Female,111005.79,50,807,1.38,0.29,89.0
Cc6786,6/11/2022,Direct Advertising,NA,26-35,Others,6547.62,92,1996,0.4,0.28,52.2
Dm1911,5/9/2021,NA,NA,18-25,NA,139763.82,19,1522,0.21,0.16,51.4
Zp2236,4/2/2020,Email,North,46-55,Female,4630.18,2,1078,1.05,0.17,30.0
Ih9984,5/19/2021,TV,East,46-55,NA,15789.9,43,2184,1.1,0.03,82.6
Qx5262,11/30/2019,NA,East,18-25,Male,85545.84,80,2466,0.83,0.2,46.8
Xc8140,10/1/2022,Email,West,56+,NA,116274.29,50,594,1.39,0.29,49.8
Zi3117,11/10/2020,Social Networks,East,18-25,Others,53158.73,32,2586,1.4,0.07,25.2
We4835,7/4/2020,TV,NA,18-25,Male,140610.13,17,232,1.2,0.28,24.4
Ps3178,6/16/2019,Email,East,18-25,Others,46013.05,73,1949,1.01,0.04,27.0
Io3558,8/10/2021,NA,NA,26-35,NA,5198.03,38,1126,0.59,0.04,99.2
Gt4945,6/27/2021,Direct Advertising,South,26-35,NA,48899.54,4,1987,1.03,0.03,32.8
Rv1060,8/22/2021,Social Networks,South,26-35,NA,146634.57,85,238,0.15,0.18,43.2
Mq6562,10/2/2022,Social Networks,East,26-35,Female,113591.36,32,516,0.88,0.22,79.4
Me6924,2/5/2021,Online Advertising,North,18-25,NA,87824.86,10,2719,1.14,0.13,37.2
Fp8870,8/1/2022,Direct Advertising,North,NA,Female,128443.95,18,766,0.73,0.14,93.8
Vw3666,2/7/2018,Social Networks,East,18-25,NA,143244.54,60,617,1.18,0.21,96.2
Fe2957,10/5/2021,Direct Advertising,East,NA,Female,72509.6,38,563,1.25,0.1,25.6
Gy9071,5/29/2018,NA,South,26-35,Male,145546.77,32,506,0.92,0.11,79.2
Of9349,10/30/2019,NA,NA,56+,NA,76085.33,33,1471,0.9,0.14,33.6
Ut2308,10/2/2021,Direct Advertising,West,NA,Female,13139.15,10,2771,1.01,0.17,50.0
Ip7628,11/8/2022,Social Networks,East,NA,Female,38789.45,99,1038,1.05,0.2,51.8
Lg1190,5/2/2020,TV,West,56+,Others,60492.07,2,1487,1.31,0.27,71.2
Zs4725,1/8/2018,TV,West,56+,NA,84102.69,37,696,1.16,0.22,35.8
Po7397,2/24/2020,Email,South,NA,Female,96059.51,75,659,1.34,0.04,42.0
Pr9149,1/18/2021,NA,NA,56+,Others,46766.24,51,1625,0.62,0.28,47.8
Nc8871,10/23/2018,Direct Advertising,East,26-35,Male,146680.77,28,1999,0.26,0.24,70.8
Bo3135,4/5/2019,TV,East,56+,Others,23482.57,29,1254,0.95,0.17,73.0
Lo3401,9/16/2022,Direct Advertising,South,18-25,NA,85655.12,63,1690,0.25,0.1,30.6
Tj7885,5/4/2018,Social Networks,West,26-35,Others,135863.89,44,1162,0.91,0.2,66.4
Rz3018,5/16/2021,Social Networks,South,56+,Female,140659.87,30,1537,0.65,0.2,76.0
Ka4538,2/18/2019,Social Networks,West,46-55,Male,54953.24,56,40,1.06,0.24,75.8
Qk5258,9/1/2019,TV,South,46-55,Female,12895.23,93,2292,1.06,0.07,41.4
Gz2591,1/10/2019,Direct Advertising,West,46-55,Others,45768.33,7,1166,0.97,0.22,75.4
Du4188,6/19/2018,Email,East,46-55,Male,94436.95,52,2760,0.29,0.16,61.4
Qv6616,9/21/2022,Direct Advertising,North,46-55,Others,133914.07,48,146,1.41,0.08,56.6
Rx2805,4/9/2022,Direct Advertising,NA,NA,NA,144634.54,48,2111,0.59,0.04,85.2
Iw8521,6/9/2020,Social Networks,South,26-35,Male,114925.82,19,82,1.1,0.13,63.0
Jf7185,10/27/2020,TV,North,18-25,Male,43108.85,92,1389,1.36,0.17,51.8
Kj1906,8/15/2018,Email,West,18-25,Others,14434.14,47,1962,1.4,0.16,87.0
Vw5980,5/23/2022,TV,North,56+,Others,35545.83,67,2735,1.1,0.28,51.6
Pt2964,12/6/2020,Online Advertising,East,56+,NA,137253.77,19,507,0.89,0.29,61.2
Dq5448,2/20/2020,Social Networks,East,18-25,Male,73155.65,71,1995,1.2,0.06,20.2
Sm2667,11/22/2021,NA,North,26-35,NA,143492,8,2605,0.15,0.29,22.6
Jb7564,2/11/2022,Direct Advertising,East,46-55,Others,121406.1,99,311,0.09,0.1,64.6
As8058,3/16/2021,TV,South,NA,Female,41907.31,100,2353,1.33,0.16,61.2
Rt2705,11/9/2022,Online Advertising,West,36-45,Male,75319.51,69,1429,0.41,0.04,32.4
Mz3612,3/6/2018,Social Networks,South,36-45,Female,50011.37,42,1612,0.58,0.06,93.2
Dr7851,6/8/2018,Social Networks,West,26-35,NA,59005.67,20,2341,0.57,0.17,23.8
Nq7679,3/22/2022,Email,South,26-35,Others,70103.2,86,334,0.29,0.27,48.6
Bo8476,12/27/2021,Email,North,56+,Female,23449.39,68,2440,0.69,0.19,47.8
Kn1188,3/2/2020,Email,North,18-25,Female,142121.74,52,1792,1,NA,74.2
Pp2980,11/24/2020,TV,West,56+,Male,13141.37,79,1837,0.58,0.21,41.4
Ll4076,10/18/2018,NA,North,NA,NA,96310.7,77,2131,1.28,0.12,71.6
Xx9240,1/10/2022,Email,NA,46-55,Female,28777.04,82,1927,1.06,0.22,62.0
Hz6835,1/1/2018,Online Advertising,North,56+,Female,81743.55,61,1166,0.43,0.02,64.4
Qi3065,1/11/2022,Email,NA,56+,Female,86587.61,89,347,1.07,0.26,54.8
Ee6719,11/7/2020,Social Networks,NA,18-25,Others,22930.39,76,1557,0.09,0.23,71.2
Jt5124,1/20/2022,Online Advertising,South,56+,Female,111856.64,69,2493,0.52,0.04,38.2
Ma4275,11/30/2018,NA,East,NA,Male,128538.27,50,415,1.41,0.2,31.6
Rv3020,5/11/2019,Email,North,18-25,Female,53444.31,73,2339,0.27,0.19,77.0
Ef1043,3/18/2018,TV,South,NA,Female,105738.31,19,1558,0.51,0.07,25.6
Am4922,12/30/2019,NA,NA,NA,NA,29357.67,60,2240,0.78,0.16,59.0
Yf8580,6/19/2022,Direct Advertising,East,NA,NA,37601.91,72,49,0.22,0.26,90.2
Pp1045,12/3/2018,TV,West,36-45,Others,22337.03,10,1596,0.93,0.09,73.2
Zn2294,3/27/2021,NA,North,NA,Male,74531.8,80,2204,1.44,0.09,93.2
Fq6074,12/19/2021,Social Networks,North,46-55,Others,36289.58,22,2815,0.99,0.14,24.2
Xm8801,3/19/2020,Social Networks,South,NA,Others,17727.53,36,534,1.47,0.06,30.4
Jy3438,10/15/2021,Email,North,26-35,Others,101930.58,100,1068,0.82,0.03,31.6
Rr1752,10/15/2021,Direct Advertising,West,NA,Others,81272.43,24,23,1.12,0.15,55.8
Ez4610,4/22/2018,Online Advertising,South,46-55,Female,104302.69,67,59,0.73,0.15,56.2
Tv6610,4/30/2020,Direct Advertising,North,56+,Male,118683.82,63,2968,0.9,0.26,99.2
Ty4902,8/16/2021,TV,North,46-55,Female,92628.45,54,1169,0.75,0.12,86.2
Uq8770,1/18/2018,TV,North,36-45,Others,32129.75,53,1884,1.14,0.26,59.8
Kr9193,8/4/2021,Direct Advertising,South,26-35,Male,120385.96,52,164,1.15,0.22,47.6
Ow6365,11/2/2018,Email,East,36-45,Female,58540.25,28,2259,1.48,0.28,82.0
Ia2875,5/17/2019,Email,North,NA,NA,94244.39,65,596,1.25,0.04,66.2
Eu7605,4/23/2021,TV,South,NA,Female,19039.93,86,2398,0.06,0.1,68.0
Mq6886,8/3/2022,Social Networks,East,46-55,NA,145110.43,61,2666,0.28,0.14,48.0
Gl9398,10/31/2020,TV,South,46-55,NA,98220.09,60,2836,0.61,0.08,75.4
Fk8272,9/18/2022,Email,North,NA,NA,117711.31,73,1181,1.44,0.19,97.8
Qn8772,1/10/2021,Direct Advertising,East,NA,Male,89689.71,29,926,0.96,0.05,52.4
Jl8020,2/4/2018,Social Networks,NA,18-25,Male,118069.27,97,1336,0.13,0.22,69.6
Lu6956,7/1/2020,NA,East,46-55,Male,115592.77,2,653,0.38,0.22,76.6
Jj2628,12/23/2020,TV,East,36-45,NA,102855.92,56,2815,1.5,0.21,57.4
Qk4662,12/17/2021,Online Advertising,West,56+,Female,130919.5,51,2954,1,0.29,72.4
Yh5197,2/14/2019,Direct Advertising,South,26-35,Female,45537.5,57,2158,1.08,0.22,49.8
Kx7693,2/14/2018,NA,North,46-55,NA,44195.88,25,2332,1.06,0.19,60.0
Yc2320,10/4/2018,Online Advertising,East,46-55,Others,76066.46,70,828,1.26,0.05,54.4
Ne9441,6/8/2021,Social Networks,North,36-45,NA,80961.1,83,801,1.07,0.27,61.8
Mn1157,1/5/2019,Email,North,NA,Male,139446.26,25,501,1.11,0.19,79.6
Xd2504,10/8/2018,Direct Advertising,South,36-45,NA,132744.14,41,1200,0.56,0.28,40.4
Fo7336,5/24/2020,Social Networks,North,18-25,Others,52928.58,87,2379,0.65,0.11,77.8
Gy3931,8/21/2022,NA,East,NA,Female,42877.58,100,2598,1.44,0.21,31.4
Af9808,11/7/2021,Direct Advertising,North,18-25,Male,66362.5,64,2490,1.04,0.17,56.4
Vz9757,4/9/2019,Social Networks,South,46-55,Others,82978.05,76,2490,1.08,0.27,73.8
Jn9589,8/17/2022,Social Networks,West,26-35,NA,40318.68,39,1002,0.07,0.06,90.4
Xk2655,1/12/2022,NA,North,46-55,Others,136529.13,59,1018,1.02,0.12,59.6
Nh3298,1/26/2018,Social Networks,NA,56+,Others,63724.24,21,203,0.32,0.11,98.2
Cl8427,1/17/2020,Direct Advertising,North,36-45,Female,133169.54,13,2604,1.35,0.08,86.4
As8780,12/9/2019,NA,NA,36-45,Male,127126.66,14,1925,0.22,0.16,62.2
Rl6346,4/29/2022,Online Advertising,North,18-25,NA,99582.1,77,43,0.96,0.24,38.6
Ul9290,6/26/2019,Social Networks,NA,26-35,Others,9330,36,844,1.15,0.24,27.6
Mg1464,9/24/2020,Social Networks,NA,46-55,NA,99759.74,79,174,0.25,0.16,45.8
Bx7304,3/4/2022,Social Networks,East,26-35,Others,70841.52,39,1577,0.73,0.04,61.6
Rd3515,11/20/2018,Email,South,NA,Others,140497.02,40,1750,1.09,0.14,47.6
Yp3420,3/25/2019,Direct Advertising,East,26-35,Male,33433.52,1,372,0.59,0.27,21.2
Lo7034,8/5/2019,Direct Advertising,West,NA,Female,44775.86,73,1493,0.8,0.22,32.6
Id3894,4/10/2020,Email,NA,56+,NA,38190.79,52,1677,1.23,0.06,22.0
Iw1332,7/24/2021,Online Advertising,North,26-35,Male,20346.18,50,304,1.15,0.14,47.2
Aq6186,10/19/2020,Social Networks,West,56+,Male,148459.86,70,1340,1.23,0.1,95.0
Tw4718,5/5/2020,NA,East,56+,NA,119487.75,19,299,1.45,0.29,20.8
Za9790,4/7/2018,Social Networks,NA,46-55,NA,11998.05,84,2378,1.32,0.14,27.6
Qx3934,3/18/2018,Social Networks,North,NA,Female,124637.9,34,2672,1,0.23,53.2
Zg6867,10/30/2022,NA,East,36-45,Others,31959.49,91,329,1.03,0.17,96.6
Dz4347,9/1/2018,TV,East,18-25,Female,65924.23,12,529,0.81,0.29,29.6
Rr4012,6/10/2019,Social Networks,East,36-45,Male,116765.97,11,1654,1.09,0.15,60.8
Pk7451,3/18/2020,Email,North,18-25,Female,69323.31,74,826,1.16,0.05,55.8
Sr9083,9/12/2020,Social Networks,West,26-35,Female,39267.76,78,1657,1.14,0.27,52.0
Cp7304,7/25/2018,Direct Advertising,East,46-55,Others,17535.28,57,2034,1.29,0.1,35.4
Ip8019,8/20/2018,Social Networks,NA,18-25,Male,20112.03,72,679,0.99,0.17,27.4
Qi9387,8/21/2020,Online Advertising,South,NA,NA,55844.86,25,178,0.89,0.22,94.8
Da9427,12/5/2018,TV,South,56+,Others,116460.69,64,1254,1.45,0.02,62.4
Jp5302,5/10/2022,Email,West,NA,Others,19105.04,53,2882,1.37,0.25,56.8
Si7918,7/31/2022,Email,South,NA,Others,35238.87,68,330,0.58,0.27,61.2
Mg2257,2/8/2020,Social Networks,NA,26-35,Male,119719.3,84,1881,0.37,0.18,50.8
Tu6260,5/4/2022,Direct Advertising,West,46-55,Male,31584.39,79,1106,1.12,0.19,67.4
Zo8070,4/23/2020,TV,East,18-25,Others,114757.59,29,846,1.07,0.27,68.2
Tu4945,9/16/2019,Social Networks,South,NA,Male,62227.51,74,1386,1,0.26,28.2
Ky7521,8/10/2022,NA,North,18-25,Others,119973.51,74,1658,1.17,0.21,89.0
Tc5693,3/19/2020,Online Advertising,East,26-35,Male,68471.16,100,453,1.43,0.21,28.6
Jk3120,3/9/2022,NA,West,NA,Female,146274.21,17,689,0.85,0.24,85.0
